District,Code,Party,Incumbent Name,,Pronunciation Guide,,First Elected,Birth Year,Gender,Race/ Ethnicity,Religion,LGBTQ,Pre-2018 Incumbent,2016 President,,2012 President,,2008 President,,2018 US House,,2016 US House,,2014 US House,,2012 Two-Party,,2014-2018 ACS Citizen Adult Population,,,,,,2010 Census Adult Population by Race,,,,,,2014-2018 ACS Educational Attainment Among Adults 25+ and Median Household Income,,,,,,,,,,Non-College White Share,2013-2022 House Specials,,,,2016 President,,,2012 President,,,2008 President,,,2018 House,,,,2016 House,,,,2014 House,,,,2012 House 2-Party,,Special Elections,,,,ACS Citizen Population (Includes Latinos of Any Race),,,,,,,ACS Citizen Voting Age Population (Includes Latinos of Any Race),,,,,,,2010 Census Total Population (Includes Latinos of Any Race),,,,,,,2010 Census Voting Age Population (Includes Latinos of Any Race),,,,,,,2018 5-Year ACS Educational Attainment,,,,,2018 5-Year ACS White Educational Attainment,,,,
,,,First,Last,Phonetic,IPA,,,,,,,,Clinton,Trump,Obama,Romney,Obama,McCain,Dem,Rep,Dem,Rep,Dem,Rep,Dem,Rep,White,Black,Latino,Asian and Pacific Islander,Native,Other,White,Black,Latino,Asian and Pacific Islander,Native,Other,High School or Greater,HS Rank,Bachelor's Degree or Higher,BA Rank (Bachelor's Degree Share),White BA (Bachelor's Degree or Higher Among Whites Only),White BA Rank (Bachelor's Degree Share),Median Income,Income Rank,White Income,White Rank,,Date,Dem,Rep,,Total,Clinton,Trump,Total,Obama,Romney,Total,Obama,McCain,Total,Dem,Rep,Other,Total,Dem,Rep,Other,Total,Dem,Rep,Other,Dem,Rep,Total,Dem,Rep,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other,Total,< High School,High School,Some College,College,Total,< High School,High School,Some College,College
Oklahoma's 2nd,OK-02,Republican,Markwayne,Mullin,(MAHRK-weyn MUHL-uhn),/'mɑɹk.weɪn 'mʌ.lən/,2012,1977,Man,Native American - Cherokee,Christian - Pentecostal,No,Won,22.8,72.9,32.2,67.8,34.3,65.7,30.1,65.0,23.2,70.6,24.6,70.0,40.1,59.9,69.4,3.5,2.8,0.5,15.6,8.1,70.9,3.5,3.2,0.5,15.9,5.9 ,85.0 ,342 ,17.0 ,413 ,17.8 ,429 ,"$42,319",409,"$44,145",428,57.1,,,,316,"271,844","62,022","198,155","252,162","81,179","170,983","273,285","93,714","179,570","216,002","65,021","140,451","10,530","268,870","62,387","189,839","16,644","158,407","38,964","110,925","8,518","96,081","143,701",,,,,"737,725","478,460","24,835","31,725","4,135","125,190","73,380","562,500","390,635","19,460","15,785","2,855","87,985","45,775","750,307","496,312","25,739","32,195","4,373","136,384","55,304","567,268","402,213","19,700","18,267","3,029","90,315","33,744","505,393","75,838","189,112","154,663","85,780","356,092","49,384","134,440","108,713","63,555"
Oklahoma's 3rd,OK-03,Republican,Frank,Lucas,(FREYNK LOO-kuhs),/fɹeɪŋk 'lu.kəs/,1994 Special,1960,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Won,20.9,73.6,26.1,73.9,27.1,72.9,26.1,73.9,21.7,78.3,21.4,78.6,21.0,79.0,79.8,4.0,5.7,1.0,5.4,4.1,79.7,3.7,6.8,1.4,5.5,2.9 ,87.9 ,263 ,22.6 ,343 ,24.1 ,373 ,"$51,611",319,"$54,015",362,60.6,,,,317,"293,417","61,179","216,078","269,736","70,346","199,390","296,229","80,196","216,033","234,065","61,152","172,913",0,"290,615","63,090","227,525",0,"169,605","36,270","133,335",0,"53,472","201,744",,,,,"751,355","571,990","28,595","60,215","7,385","43,610","39,555","564,380","450,590","22,390","32,395","5,430","30,605","22,975","750,049","574,367","26,758","63,049","10,441","46,265","29,169","567,154","452,015","20,983","38,818","7,990","31,014","16,334","504,863","61,089","173,977","155,923","113,874","397,848","36,868","138,560","126,512","95,908"
Oklahoma's 4th,OK-04,Republican,Tom,Cole,(TAHM KOHL),/tɑm koʊl/,2002,1949,Man,Native American - Chickasaw,Christian - Methodist,No,Won,28.3,65.7,32.9,67.1,33.9,66.1,33.0,63.1,26.1,69.6,24.7,70.8,28.9,71.1,75.5,6.5,6.0,1.9,4.6,5.5,76.8,6.2,5.8,2.3,5.3,3.6 ,89.8 ,176 ,25.2 ,295 ,25.9 ,341 ,"$56,380",245,"$58,970",294,56.0,,,,318,"295,464","83,648","194,160","262,386","86,285","176,067","288,234","97,697","190,538","236,638","78,088","149,227","9,323","293,189","76,472","204,143","12,574","166,268","40,998","117,721","7,549","71,846","176,740",,,,,"765,815","552,280","50,450","58,750","14,040","37,150","53,150","582,545","440,030","37,990","34,850","10,860","26,820","31,995","751,309","551,103","48,601","54,410","16,271","43,837","37,087","568,351","436,422","35,286","33,195","12,882","30,040","20,526","509,301","51,702","163,230","166,077","128,292","386,017","34,284","126,415","125,355","99,963"
Oklahoma's 5th,OK-05,Democratic,Kendra,Horn,(KEN-druh HAWRN),/'kɛn.dɹə hɔɹn/,2018,1976,Woman,White - Non-Hispanic,Christian - Episcopalian,No,Lost,39.8,53.2,40.8,59.2,40.8,59.2,50.7,49.3,36.8,57.1,36.3,60.1,38.8,61.2,67.4,13.9,7.6,2.3,4.2,4.6,65.1,13.0,11.6,2.9,4.2,3.2 ,86.8 ,294 ,30.7 ,196 ,36.5 ,181 ,"$51,669",317,"$60,163",277,42.8,,,,319,"280,761","111,769","149,400","263,306","107,416","155,924","286,981","116,973","170,007","238,960","121,149","117,811",0,"280,570","103,273","160,184","17,113","159,133","57,790","95,632","5,711","97,504","153,603",,,,,"755,985","461,665","107,190","93,800","17,755","31,715","43,870","552,435","372,295","76,785","41,760","12,850","23,355","25,390","749,773","450,733","103,094","108,641","20,892","33,153","33,260","560,552","365,049","72,933","64,923","16,079","23,401","18,167","528,655","69,876","138,148","158,462","162,169","339,006","25,381","84,944","104,927","123,754"
Oregon's 1st,OR-01,Democratic,Suzanne,Bonamici,(soo-ZAN bahn-uh-MEE-chee),/su.'zæn ˌbɑ.nə.'mi.tʃi/,2012 Special,1954,Woman,White - Non-Hispanic,Jewish,No,Won,57.3,34.5,57.3,40.0,59.6,37.7,63.6,32.1,59.6,37.0,57.3,34.5,64.3,35.7,80.9,1.6,8.0,5.9,0.5,3.0,77.9,1.3,11.0,6.9,0.7,2.2 ,91.6 ,96 ,41.3 ,74 ,42.6 ,114 ,"$73,956",91,"$75,455",138,46.4,,,,320,"382,673","219,412","132,160","350,979","201,028","140,410","353,487","210,580","133,368","363,249","231,198","116,446","15,605","378,095","225,391","139,756","12,948","279,253","160,038","96,245","22,970","197,845","109,699",,,,,"765,515","582,045","12,765","89,030","46,210","3,525","31,945","582,390","470,910","9,535","46,820","34,615","3,000","17,510","763,897","565,900","10,694","104,801","53,082","4,973","24,447","576,034","448,707","7,541","63,396","40,002","3,779","12,609","575,609","48,088","109,888","180,018","237,615","436,601","20,218","84,190","146,093","186,100"
Oregon's 2nd,OR-02,Republican,Greg,Walden,(GREG WAWL-duhn),/gɹɛg 'wɔl.dən/,1998,1957,Man,White - Non-Hispanic,Christian - Episcopalian,No,Won,36.4,56.5,40.5,56.8,43.3,53.8,39.4,56.3,28.0,71.7,25.7,70.4,29.8,70.2,87.0,0.6,7.5,1.0,1.7,2.2,85.3,0.5,9.5,1.2,1.8,1.8 ,88.8 ,228 ,24.7 ,302 ,26.5 ,327 ,"$51,574",320,"$52,593",381,63.9,,,,321,"381,561","139,059","215,711","345,883","139,940","196,568","355,690","153,867","191,430","368,709","145,298","207,597","15,814","380,739","106,640","272,952","1,147","287,425","73,785","202,374","11,266","96,741","228,043",,,,,"773,760","641,705","4,715","84,830","7,740","13,475","21,295","600,025","521,990","3,560","44,920","6,140","9,910","13,495","765,205","625,841","3,828","94,603","8,614","14,507","17,812","589,203","502,516","2,865","55,991","6,780","10,516","10,535","567,499","63,443","155,168","208,741","140,147","481,088","37,026","133,110","183,323","127,629"
Oregon's 3rd,OR-03,Democratic,Earl,Blumenauer,(URL BLOO-meh-now-er),/ɜɹl 'blu.mɛ.ˌnaʊ.əɹ/,1996 Special,1948,Man,White - Non-Hispanic,Unknown/Refused,No,Won,70.7,22.5,72.0,24.7,72.9,24.3,72.6,19.8,71.8,0.0,72.3,19.6,79.0,21.0,78.9,4.5,6.3,6.3,0.7,3.2,76.9,4.7,8.4,6.6,0.8,2.7 ,90.9 ,124 ,40.5 ,79 ,44.8 ,96 ,"$64,361",162,"$70,089",180,43.6,,,,322,"399,204","282,346","89,678","372,036","267,966","91,827","377,498","275,349","91,804","384,326","279,019","76,187","29,120","382,355","274,687",0,"107,668","292,757","211,748","57,424","23,585","264,979","70,325",,,,,"773,150","578,175","37,470","68,700","48,580","5,505","34,715","613,775","484,140","27,915","38,750","38,655","4,470","19,840","765,961","558,539","39,511","82,254","51,504","5,828","28,325","604,077","464,265","28,470","50,760","39,674","4,639","16,269","597,480","54,359","113,404","187,648","242,069","453,781","23,117","82,962","144,467","203,235"
Oregon's 4th,OR-04,Democratic,Peter,DeFazio,(PEE-ter duh-FAH-zee-oh),/'pi.ɾəɹ də.'fɑ.zi.ˌoʊ/,1986,1947,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,46.1,46.0,51.7,45.0,54.2,42.7,56.0,40.9,55.5,39.7,58.6,37.6,60.2,39.8,88.6,0.7,4.9,1.6,1.0,3.2,88.3,0.6,5.2,2.3,1.1,2.6 ,90.8 ,131 ,26.6 ,262 ,26.8 ,319 ,"$49,031",354,"$49,937",410,64.9,,,,323,"392,006","180,872","180,318","364,440","188,563","163,931","388,034","210,312","165,632","372,893","208,710","152,414","11,769","397,568","220,628","157,743","19,197","310,179","181,624","116,534","12,021","212,866","140,549",,,,,"768,755","662,120","5,560","51,005","12,310","7,540","30,225","619,855","549,250","4,345","30,335","9,910","6,205","19,800","766,771","659,561","4,904","51,481","16,819","9,217","24,789","613,372","541,488","3,605","31,795","13,902","6,938","15,644","552,536","50,915","142,998","211,559","147,064","484,698","37,726","127,864","189,146","129,962"
Oregon's 5th,OR-05,Democratic,Kurt,Schrader,(KERT SHREY-dur),/kɜɹt 'ʃɹeɪ.ɾəɹ/,2008,1951,Man,White - Non-Hispanic,Christian - Episcopalian,No,Won,48.3,44.1,50.5,47.1,53.0,44.2,55.0,41.8,53.5,43.0,53.7,39.3,56.0,44.0,84.1,1.0,9.0,2.5,0.8,2.7,81.8,0.8,11.7,2.9,1.0,1.9 ,89.7 ,190 ,30.7 ,197 ,33.3 ,222 ,"$62,502",181,"$64,909",222,56.1,,,,324,"373,298","180,417","164,536","342,657","172,991","161,439","353,154","187,183","156,240","358,469","197,187","149,887","11,395","373,108","199,505","160,443","13,160","281,088","150,944","110,332","19,812","177,229","139,223",,,,,"772,350","608,810","7,725","103,090","20,165","6,755","25,810","586,220","492,830","5,610","52,605","14,560","4,810","15,810","769,240","596,007","6,047","116,923","22,114","8,181","19,968","581,935","475,859","4,465","67,806","16,678","5,990","11,137","557,569","57,377","134,907","194,363","170,922","450,581","27,532","108,316","164,910","149,823"
Pennsylvania's 1st,PA-01,Republican,Brian,Fitzpatrick,(BRAHY-uhn fitz-PAT-chrik),/'bɹaɪ.ən fɪts.'pæ.tʃɹɪk/,2016,1973,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,49.1,47.1,50.2,48.6,53.9,45.0,48.7,51.3,      Redrawn,,      Redrawn,,      Redrawn,,87.6,3.6,3.4,4.4,0.1,0.9,87.3,3.3,3.6,4.8,0.1,0.9 ,93.7 ,24 ,40.8 ,78 ,40.9 ,133 ,"$85,251",47,"$88,269",66,51.7,,,,325,"385,727","189,392","181,772","359,421","180,458","174,575","372,341","200,860","167,494","329,798","160,745","169,053",0,,,,,,,,,,,,,,,"683,850","583,445","26,805","30,270","31,700",805,"10,830","537,870","471,015","19,480","18,310","23,455",635,"4,975","705,687","604,218","24,917","30,199","35,116",844,"10,393","543,412","474,616","17,713","19,629","25,815",639,"5,000","503,704","31,780","143,838","122,624","205,462","430,698","21,386","127,147","105,810","176,355"
Pennsylvania's 2nd,PA-02,Democratic,Brendan,Boyle,(BREN-duhn BOY-uhl),/'bɹɛn.dən 'bɔɪ.əl/,2014,1977,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,72.9,24.9,77.4,21.8,73.1,26.1,79.0,21.0,      Redrawn,,      Redrawn,,      Redrawn,,45.7,25.7,20.8,6.2,0.2,1.4,49.1,23.5,18.9,6.7,0.2,1.6 ,80.3 ,396 ,20.3 ,384 ,26.2 ,334 ,"$42,666",407,"$53,600",369,33.8,,,,326,"283,972","207,087","70,641","271,538","210,110","59,284","288,997","211,289","75,417","201,982","159,600","42,382",0,,,,,,,,,,,,,,,"673,920","272,335","181,590","164,650","41,615","1,375","12,360","496,245","226,970","127,525","103,125","30,645","1,045","6,935","705,688","311,783","177,592","154,157","46,355","1,405","14,396","526,334","258,603","123,450","99,456","35,288","1,008","8,529","482,319","95,214","180,727","108,670","97,708","221,033","26,099","88,803","48,298","57,833"
Pennsylvania's 3rd,PA-03,Democratic,Dwight,Evans,(DWAHYT EV-uhnz),/dwaɪt 'ɛ.vənz/,2016,1954,Man,Black - African-American,Christian - Baptist,No,Won,90.9,7.0,91.7,7.6,91.8,7.8,93.4,6.6,      Redrawn,,      Redrawn,,      Redrawn,,34.2,55.7,3.7,4.2,0.3,1.8,33.0,55.4,3.6,5.9,0.3,1.9 ,88.1 ,260 ,38.1 ,101 ,68.6 ,9 ,"$45,084",394,"$77,838",119,10.7,,,,327,"373,594","339,631","26,238","370,854","340,118","28,111","379,138","348,192","29,448","307,997","287,610","20,387",0,,,,,,,,,,,,,,,"687,965","210,470","401,530","28,725","28,660","1,700","16,870","555,345","190,060","309,590","20,750","23,590","1,415","9,935","705,688","204,233","418,271","27,419","38,377","1,847","15,541","568,892","187,806","314,978","20,469","33,386","1,474","10,779","499,452","59,645","139,110","110,358","190,339","165,455","6,526","22,456","22,922","113,551"
Pennsylvania's 4th,PA-04,Democratic,Madeleine,Dean,(MAD-uh-leen DEEN),/'mæ.ɾə.lin din/,2018,1959,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Retired,57.8,38.5,56.1,42.8,59.5,39.6,63.5,36.5,      Redrawn,,      Redrawn,,      Redrawn,,82.3,9.1,3.0,4.3,0.1,1.2,81.6,8.4,3.6,5.2,0.1,1.0 ,94.2 ,17 ,47.4 ,35 ,48.2 ,75 ,"$87,310",43,"$91,038",58,42.6,,,,328,"382,477","221,238","147,165","362,827","203,536","155,314","371,696","221,343","147,161","332,991","211,524","121,467",0,,,,,,,,,,,,,,,"693,995","552,825","64,790","28,000","32,770",595,"15,025","539,400","443,900","49,170","16,020","23,120",525,"6,660","705,687","562,909","61,802","29,924","38,327",700,"12,025","543,711","443,923","45,639","19,786","28,471",520,"5,372","509,697","29,625","126,341","112,388","241,343","407,827","17,947","103,441","89,772","196,667"
Pennsylvania's 5th,PA-05,Democratic,Mary Gay,Scanlon,(MAIR-ee GEY SKAN-luhn),/'mɜ.ɹi geɪ 'skæn.lən/,2018 Special,1959,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Vacant - Resignation,62.6,34.4,63.4,35.7,62.8,36.3,65.2,34.8,      Redrawn,,      Redrawn,,      Redrawn,,69.6,21.8,2.9,4.4,0.1,1.2,69.8,20.4,2.9,5.5,0.1,1.2 ,90.9 ,123 ,36.9 ,114 ,41.9 ,121 ,"$66,393",146,"$81,406",98,40.4,,,,329,"367,453","230,067","126,362","352,632","223,552","125,727","365,848","229,663","132,877","304,714","198,639","106,075",0,,,,,,,,,,,,,,,"674,870","444,505","158,365","25,355","32,275",730,"13,640","520,830","362,525","113,385","15,335","22,990",520,"6,075","705,688","469,497","159,178","23,687","39,762",933,"12,631","541,035","377,905","110,639","15,833","29,500",673,"6,485","485,622","44,029","149,562","113,035","178,996","327,683","19,153","97,607","73,475","137,448"
Pennsylvania's 6th,PA-06,Democratic,Chrissy,Houlahan,(KRIS-ee HOO-luh-han),/'kɹɪ.si 'hu.lə.hæn/,2018,1967,Woman,White - Non-Hispanic,Unknown/Refused,No,Open - Retired,52.6,43.3,51.0,47.8,55.7,43.4,58.9,41.1,      Redrawn,,      Redrawn,,      Redrawn,,81.2,5.9,9.3,2.5,0.1,1.1,79.5,5.9,10.6,3.0,0.1,0.9 ,90.4 ,146 ,44.1 ,54 ,48.4 ,73 ,"$81,257",61,"$89,816",63,41.9,,,,330,"353,374","185,851","153,016","331,423","169,019","158,459","339,405","188,931","147,326","301,828","177,704","124,124",0,,,,,,,,,,,,,,,"683,535","525,740","39,600","85,580","19,780",530,"12,305","516,390","419,200","30,445","47,830","12,805",410,"5,700","705,688","538,871","41,738","90,778","22,602",829,"10,870","528,267","420,028","30,980","55,886","15,859",638,"4,876","486,491","46,540","121,668","103,828","214,455","380,668","19,923","94,193","82,478","184,074"
Pennsylvania's 7th,PA-07,Democratic,Susan,Wild,(SOO-zuhn WAHYLD),/'su.zən waɪld/,2018 Special,1957,Woman,White - Non-Hispanic,Jewish,No,Vacant - Resignation,48.7,47.6,52.9,45.9,56.6,42.1,53.5,43.5,      Redrawn,,      Redrawn,,      Redrawn,,77.5,5.2,13.7,2.3,0.1,1.2,79.9,4.6,11.8,2.5,0.1,1.0 ,89.4 ,203 ,29.0 ,226 ,31.7 ,247 ,"$64,239",164,"$69,576",183,53.0,,,,331,"329,510","160,356","156,777","300,110","158,652","137,646","312,799","176,921","131,827","263,261","140,813","114,437","8,011",,,,,,,,,,,,,,,"693,400","506,165","38,775","117,320","16,705",730,"13,715","541,680","419,980","28,065","74,080","12,395",640,"6,520","705,688","534,985","36,162","103,207","18,791",867,"11,676","545,100","435,449","24,958","64,563","13,862",634,"5,634","496,283","52,528","167,414","132,226","144,115","380,292","29,397","130,773","99,642","120,480"
Pennsylvania's 8th,PA-08,Democratic,Matt,Cartwright,(MAT KAHRT-rahyt),/mæt 'kɑɹt.ɹaɪt/,2012,1961,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,43.7,53.3,55.3,43.4,56.7,42.3,54.6,45.4,      Redrawn,,      Redrawn,,      Redrawn,,85.9,4.8,7.2,1.1,0.1,0.9,87.6,4.1,6.0,1.3,0.1,0.8 ,90.0 ,166 ,24.8 ,298 ,25.9 ,342 ,"$53,515",280,"$54,269",358,63.7,,,,332,"310,154","135,605","165,198","287,086","158,893","124,466","311,542","176,564","131,905","248,166","135,603","112,563",0,,,,,,,,,,,,,,,"673,125","556,430","34,755","63,770","7,740",725,"9,700","537,910","462,290","25,730","38,810","5,720",560,"4,800","705,687","598,830","32,869","54,128","9,369",928,"9,563","555,783","486,947","22,993","33,347","7,217",698,"4,581","494,692","49,272","186,689","136,121","122,610","420,087","33,143","161,942","116,282","108,720"
Pennsylvania's 9th,PA-09,Republican,Dan,Meuser,(DAN MYOO-zer),/dæn 'mju.zəɹ/,2018,1964,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Ran for Senate,31.0,65.0,41.2,57.2,45.6,53.0,40.3,59.7,      Redrawn,,      Redrawn,,      Redrawn,,91.6,2.3,4.5,0.8,0.1,0.6,93.1,2.0,3.4,0.8,0.1,0.6 ,88.8 ,226 ,20.8 ,371 ,21.2 ,405 ,"$57,267",229,"$58,050",306,72.2,,,,333,"315,463","97,813","205,181","288,583","118,960","164,933","305,613","139,347","161,874","248,927","100,204","148,723",0,,,,,,,,,,,,,,,"696,720","626,175","16,610","40,610","5,940",655,"6,730","555,895","509,310","13,060","25,030","4,370",575,"3,545","705,687","647,577","14,222","30,722","5,810",779,"6,577","557,308","518,938","11,298","18,953","4,274",630,"3,215","499,172","55,681","216,943","122,699","103,849","457,541","46,866","201,710","112,073","96,892"
Pennsylvania's 10th,PA-10,Republican,Scott,Perry,(SKAHT PAIR-ee),/skɑt 'pɛ.ɹi/,2012,1962,Man,White - Non-Hispanic,Christian - United Brethren,No,Won,43.4,52.3,46.0,52.6,48.6,50.3,48.7,51.3,      Redrawn,,      Redrawn,,      Redrawn,,81.1,9.5,5.7,2.1,0.1,1.5,81.8,9.2,5.0,2.6,0.2,1.2 ,90.7 ,136 ,31.1 ,185 ,33.2 ,223 ,"$62,720",178,"$67,538",199,54.1,,,,334,"346,108","150,112","181,044","322,536","148,361","169,759","334,217","162,452","168,267","291,033","141,668","149,365",0,,,,,,,,,,,,,,,"703,615","544,265","73,600","51,770","16,640",795,"16,545","547,580","444,095","52,095","31,160","11,620",615,"8,000","705,688","554,409","71,451","44,592","19,295","1,032","14,909","545,746","446,632","50,118","27,470","14,266",819,"6,441","504,285","46,891","174,858","125,465","157,071","404,646","28,868","142,012","99,258","134,508"
Pennsylvania's 11th,PA-11,Republican,Lloyd,Smucker,(LOYD SMUH-ker),/lɔɪd 'smʌ.kəɹ/,2016,1964,Man,White - Non-Hispanic,Christian - Lutheran,No,Won,34.7,60.5,38.0,60.5,42.0,57.1,41.0,59.0,      Redrawn,,      Redrawn,,      Redrawn,,88.7,2.9,6.2,1.3,0.1,0.8,89.3,2.6,5.7,1.5,0.1,0.8 ,86.1 ,310 ,25.8 ,283 ,26.5 ,325 ,"$65,019",155,"$67,668",197,65.2,,,,335,"332,899","115,372","201,557","305,314","116,033","184,712","312,292","131,065","178,251","277,584","113,876","163,708",0,,,,,,,,,,,,,,,"714,440","616,085","22,530","55,830","9,835",695,"9,460","545,860","484,240","15,835","33,830","7,180",450,"4,320","705,688","615,100","19,920","49,255","11,320",898,"9,195","533,533","476,409","13,929","30,247","8,207",714,"4,027","496,359","68,926","184,746","114,491","128,196","437,435","55,980","166,281","99,085","116,089"
Pennsylvania's 12th,PA-12,Republican,Fred,Keller,(FRED KEL-er),/fɹɛd 'kɛ.ləɹ/,2019 Special,1965,Man,White - Non-Hispanic,Christian - United Church of Christ,No,Won,29.7,66.1,36.8,61.5,41.7,57.0,34.0,66.0,      Redrawn,,      Redrawn,,      Redrawn,,94.3,2.1,1.9,0.8,0.1,0.8,94.0,2.0,1.7,1.5,0.2,0.7 ,89.0 ,216 ,22.7 ,340 ,22.2 ,398 ,"$53,067",291,"$53,789",365,73.3,21-May-19,32.0,68.0,336,"306,841","91,145","202,955","280,151","103,160","172,279","299,130","124,685","170,542","243,872","82,825","161,047",0,,,,,,,,,,,"130,397","41,741","88,656",,"689,060","644,190","14,720","14,925","6,095",950,"8,185","551,580","519,955","11,655","10,220","4,580",825,"4,335","705,688","659,533","14,003","13,348","9,701","1,046","8,057","560,669","527,131","10,957","9,295","8,232",860,"4,194","473,455","52,063","202,726","111,105","107,561","446,857","48,206","194,605","104,873","99,173"
Pennsylvania's 13th,PA-13,Republican,John,Joyce,(JAHN JOYS),/dʒɑn dʒɔɪs/,2018,1957,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Retired,25.5,71.2,32.1,66.6,37.0,61.8,29.5,70.5,      Redrawn,,      Redrawn,,      Redrawn,,94.2,2.6,1.8,0.4,0.1,0.9,94.4,2.3,2.0,0.6,0.1,0.6 ,88.8 ,227 ,19.7 ,396 ,19.8 ,422 ,"$53,076",290,"$53,846",364,75.6,,,,337,"319,516","81,394","227,441","293,398","94,035","195,367","305,443","112,889","188,752","253,266","74,733","178,533",0,,,,,,,,,,,,,,,"690,445","640,325","17,980","17,505","3,225",525,"10,895","549,530","517,835","14,075","9,660","2,455",400,"5,105","705,688","657,766","16,909","17,943","4,064",837,"8,169","553,940","522,699","12,912","11,040","3,079",669,"3,541","497,736","55,613","224,553","119,652","97,918","467,113","49,301","213,052","112,283","92,477"
Pennsylvania's 14th,PA-14,Republican,Guy,Reschenthaler,(GAHY RESH-en-thahl-er),/gai 'ɹɛ.ʃɛn.ˌθɑ.ləɹ/,2018,1983,Man,White - Non-Hispanic,Christian - Protestant,No,Open - Elected in PA-17,33.9,62.9,40.6,58.3,44.7,54.2,42.1,57.9,      Redrawn,,      Redrawn,,      Redrawn,,94.5,2.9,1.0,0.6,0.0,1.0,94.8,3.0,0.8,0.6,0.1,0.7 ,92.4 ,67 ,26.4 ,270 ,26.6 ,322 ,"$57,045",233,"$58,001",307,69.3,,,,338,"333,028","112,884","209,542","309,063","125,404","180,087","323,752","144,762","175,361","261,437","110,051","151,386",0,,,,,,,,,,,,,,,"687,075","641,580","20,465","8,270","4,510",325,"11,930","554,525","523,935","16,180","5,490","3,080",235,"5,610","705,688","661,956","22,348","6,772","4,488",699,"9,425","563,194","533,836","17,100","4,461","3,288",556,"3,953","502,200","38,123","201,337","130,305","132,435","474,892","34,448","191,455","122,572","126,417"
Pennsylvania's 15th,PA-15,Republican,Glenn,Thompson,(GLEN TAHMP-suhn),/glɛn 'tɑmp.sən/,2008,1959,Man,White - Non-Hispanic,Christian - Protestant,No,Won,26.5,69.8,35.7,62.6,42.6,55.8,32.2,67.8,      Redrawn,,      Redrawn,,      Redrawn,,95.6,2.0,1.2,0.4,0.1,0.7,95.7,1.9,1.1,0.6,0.1,0.5 ,90.4 ,150 ,19.9 ,390 ,20.0 ,420 ,"$49,714",346,"$49,955",409,76.5,,,,339,"308,943","82,000","215,661","288,080","102,940","180,414","300,804","128,138","167,948","243,572","78,327","165,245",0,,,,,,,,,,,,,,,"679,090","647,745","12,185","8,815","2,755",780,"6,815","549,485","525,255","11,185","6,615","2,125",675,"3,625","705,688","674,364","12,493","8,220","4,300",759,"5,552","563,753","539,250","10,982","6,328","3,559",638,"2,996","490,370","47,039","227,605","117,961","97,765","468,191","42,999","218,854","112,772","93,566"
Pennsylvania's 16th,PA-16,Republican,Mike,Kelly,(MAHYK KEL-ee),/maɪk 'kɛ.li/,2010,1948,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,37.9,57.9,46.9,51.7,49.6,49.0,47.3,51.6,      Redrawn,,      Redrawn,,      Redrawn,,92.5,4.1,1.7,0.6,0.1,1.0,92.7,4.1,1.5,0.8,0.1,0.8 ,91.3 ,108 ,27.0 ,258 ,27.4 ,309 ,"$52,340",305,"$54,260",359,67.1,,,,340,"323,079","122,577","187,144","307,365","144,196","159,031","326,156","161,888","159,959","262,396","124,109","135,348","2,939",,,,,,,,,,,,,,,"682,270","617,425","30,320","15,730","4,610",875,"13,310","540,100","499,415","21,940","9,345","3,195",690,"5,520","705,687","641,936","32,429","13,915","5,905",909,"10,593","549,271","509,372","22,330","8,121","4,396",729,"4,323","480,688","41,761","191,531","117,806","129,590","444,508","35,043","178,648","108,823","121,994"
Pennsylvania's 17th,PA-17,Democratic,Conor,Lamb,(KAH-ner LAM),/'kɒn.ər læm/,2018 Special,1984,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Lost,46.8,49.4,47.2,51.7,48.6,50.5,56.3,43.7,      Redrawn,,      Redrawn,,      Redrawn,,91.0,5.4,1.1,1.4,0.1,1.0,91.2,4.9,1.1,1.9,0.1,0.8 ,94.9 ,7 ,40.3 ,82 ,40.2 ,141 ,"$66,495",143,"$68,222",194,54.4,,,,341,"380,743","178,351","188,065","361,853","170,762","187,015","373,643","181,535","188,525","325,579","183,162","142,417",0,,,,,,,,,,,,,,,"696,635","619,475","40,115","10,095","12,345",490,"14,110","554,550","504,485","29,720","6,295","7,830",420,"5,800","705,688","632,070","38,145","9,250","15,149",614,"10,460","556,858","508,040","27,339","5,909","10,799",464,"4,307","521,829","26,696","147,891","136,909","210,333","469,670","22,226","136,584","122,280","188,580"
